chr,chr_bkpt,peak,mark,is_bkpt
chr7,138537319,85,Histone_H3K27ac,1
chr7,138545823,502,Histone_H3K36me3,1
chr7,138545823,198,Histone_H3K27me3,1
chr7,138540382,158,TFs_and_others_ASCL1,1
chr7,138539930,110,Histone_H3K27ac,1
chr7,138542775,172,Histone_H3K9me3,1
chr7,138542775,181,Histone_H3K27me3,1
chr7,138542775,338,TFs_and_others_PHOX2B,1
chr7,138542775,282,TFs_and_others_HAND2,1
chr7,138542814,172,Histone_H3K9me3,1
chr7,138542814,181,Histone_H3K27me3,1
chr7,138542814,92,Histone_H3K4me1,1
chr7,138542814,338,TFs_and_others_PHOX2B,1
chr7,138542814,282,TFs_and_others_HAND2,1
chr8,38271154,471,Histone_H3K27ac,1
chr8,38271154,396,Histone_H3K36me3,1
chr8,38271154,134,TFs_and_others_BMI1,1
chr8,38271154,120,TFs_and_others_BRD4,1
chr8,38271154,110,Histone_H3K79me2,1
chr8,38271154,275,Histone_H3K27me3,1
chr8,38271154,92,Histone_H3.3,1
chr8,38271154,423,TFs_and_others_CIC,1
chr8,38271154,143,Histone_H3K4me1,1
chr8,38271154,1402,TFs_and_others_ASCL1,1
chr7,138545930,502,Histone_H3K36me3,1
chr7,138545930,198,Histone_H3K27me3,1
chr7,138545930,445,TFs_and_others_CIC,1
chr6,163985819,594,Histone_H3K27ac,1
chr6,163985819,203,TFs_and_others_ASCL1,1
chr7,138546213,445,TFs_and_others_CIC,1
chr7,138548901,459,Histone_H3K27ac,1
chr7,138548901,250,Histone_H3K4me1,1
chr7,138541227,225,Histone_H3K27me3,1
chr7,138550987,149,TFs_and_others_RAD21,1
chr7,138550987,1439,TFs_and_others_CTCF,1
chr7,138527008,1202,TFs_and_others_JUN,1
chr7,138527008,175,TFs_and_others_YY1,1
chr7,138527008,174,TFs_and_others_Epitope tags,1
chr7,138527008,926,TFs_and_others_USF1,1
chr7,138527008,147,TFs_and_others_PBX3,1
chr7,138527008,130,TFs_and_others_MGMT,1
chr7,138527008,281,TFs_and_others_SMARCA4,1
chr7,138527008,191,TFs_and_others_GATA3,1
chr7,138527008,596,Histone_H3K27ac,1
chr7,138527008,491,Histone_H3K4me2,1
chr7,138527008,208,TFs_and_others_TCF12,1
chr7,138527008,180,TFs_and_others_MYCN,1
chr7,138527008,230,TFs_and_others_BRD4,1
chr7,138527008,481,TFs_and_others_JUND,1
chr7,138527008,131,TFs_and_others_RAD21,1
chr7,138527008,187,TFs_and_others_CTCF,1
chr7,138527008,436,TFs_and_others_MAX,1
chr7,138527008,108,TFs_and_others_TEAD4,1
chr7,138527008,238,Histone_H3K4me1,1
chr7,138527008,441,TFs_and_others_FOSL2,1
chr7,138542535,169,Histone_H3K9me3,1
chr7,138542401,169,Histone_H3K9me3,1
chr7,79768432,138,Histone_H3K4me1,1
chr7,138539890,110,Histone_H3K27ac,1
chr7,138543362,101,Histone_H3K36me3,1
chr7,138541121,212,Histone_H3K27me3,1
chr7,138540429,103,TFs_and_others_ASCL1,1
chr7,138543665,120,Histone_H3K36me3,1
chr7,138543665,109,Histone_H3K9me3,1
chr7,140156585,252,Histone_H3K36me3,1
chr7,140156585,154,TFs_and_others_BRD4,1
chr7,138537592,85,Histone_H3K27ac,1
chr7,138542583,169,Histone_H3K9me3,1
chr7,138543040,172,Histone_H3K9me3,1
chr7,138543040,186,Histone_H3K27me3,1
chr7,138543040,92,Histone_H3K4me1,1
chr7,138542839,172,Histone_H3K9me3,1
chr7,138542839,186,Histone_H3K27me3,1
chr7,138542839,92,Histone_H3K4me1,1
chr7,138542839,338,TFs_and_others_PHOX2B,1
chr7,138542839,282,TFs_and_others_HAND2,1
chr7,138546185,502,Histone_H3K36me3,1
chr7,138546185,180,Histone_H3K27me3,1
chr7,138546185,445,TFs_and_others_CIC,1
chr15,50798716,280,Histone_H3K27ac,1
chr15,50798716,93,Histone_H3K4me2,1
chr15,50798716,436,Histone_H3K4me3,1
chr15,50798716,91,Histone_H3K4me1,1
chr1,78170570,272,TFs_and_others_PBX3,1
chr1,78170570,614,TFs_and_others_GATA3,1
chr1,78170570,150,TFs_and_others_TCF12,1
chr15,27692334,158,Histone_H3K9me3,1
chr15,27692334,227,Histone_H3K27me3,1
chr4,14720073,318,Histone_H3K27ac,1
chr15,50833651,727,Histone_H3K27ac,1
chr15,50833651,127,Histone_H3K27me3,1
chr15,86329774,108,Histone_H3K9ac,1
chr15,86329774,870,Histone_H3K27ac,1
chr15,86329774,569,Histone_H3K4me2,1
chr15,86329774,368,Histone_H3K4me3,1
chr15,86329774,240,Histone_H3.3,1
chr15,86329774,326,Histone_H3K4me1,1
chr15,50943686,317,Histone_H3K36me3,1
chr15,35780609,144,Histone_H3K36me3,1
chr15,35780609,170,Histone_H3K9me3,1
chr15,35780609,310,Histone_H3K27me3,1
chr15,70134775,85,Histone_H3K27ac,1
chr15,70134775,278,Histone_H3K4me1,1
chr15,44306895,94,Histone_H3K27ac,1
chr15,44306895,154,Histone_H3K36me3,1
chr15,36118882,129,Histone_H3K27ac,1
chr15,29363291,594,Histone_H3K27ac,1
chr15,29363291,214,Histone_H3K4me2,1
chr15,29363291,332,Histone_H3K4me3,1
chr15,29363291,138,Histone_H3K4me1,1
chr15,35872759,152,Histone_H3K27me3,1
chr15,34502180,86,TFs_and_others_TSHZ2,1
chr15,34502180,159,TFs_and_others_OLIG2,1
chr15,34502180,1307,Histone_H3K9ac,1
chr15,34502180,282,TFs_and_others_TOP2B,1
chr15,34502180,130,TFs_and_others_DCP1A,1
chr15,34502180,317,TFs_and_others_ARID1B,1
chr15,34502180,434,TFs_and_others_YY1,1
chr15,34502180,611,TFs_and_others_Epitope tags,1
chr15,34502180,1943,TFs_and_others_TFAP2B,1
chr15,34502180,481,TFs_and_others_SMARCA4,1
chr15,34502180,779,TFs_and_others_CHD8,1
chr15,34502180,272,TFs_and_others_ARNTL,1
chr15,34502180,426,TFs_and_others_E2F1,1
chr15,34502180,2088,Histone_H3K27ac,1
chr15,34502180,1079,TFs_and_others_BRD2,1
chr15,34502180,881,TFs_and_others_BMI1,1
chr15,34502180,244,TFs_and_others_TBX2,1
chr15,34502180,689,TFs_and_others_TAF1,1
chr15,34502180,1211,Histone_H3K4me2,1
chr15,34502180,781,Histone_H3K9K14ac,1
chr15,34502180,2883,Histone_H3K4me3,1
chr15,34502180,101,TFs_and_others_PAX6,1
chr15,34502180,218,TFs_and_others_MCM3,1
chr15,34502180,245,TFs_and_others_ARID2,1
chr15,34502180,383,TFs_and_others_CHD7,1
chr15,34502180,921,TFs_and_others_NEUROD1,1
chr15,34502180,340,TFs_and_others_ZFX,1
chr15,34502180,232,TFs_and_others_SIN3A,1
chr15,34502180,1050,TFs_and_others_MYCN,1
chr15,34502180,342,TFs_and_others_MYC,1
